"Who is traditionally celebrated as the ""Father of Medicine"" for transforming practice from superstition into a scientific system?",Hippocrates of Cos
The Hippocratic principle that the body possesses an inherent ability to heal itself is known in Latin as _____.,Vis Medicatrix Naturae
"What Greek term did Aristotle use to describe the sum total of the body's natural, instinctive reactions to maintain homeostasis?",Physis
The Hippocratic system was based on a scientific approach centered on the principle of _____ and _____.,Cause and effect
What is the name of the collection of approximately sixty medical tracts ascribed to Hippocrates?,The Hippocratic Corpus
Which ancient Greek medical school prioritized the patient's entire environment and constitution over specific disease classification?,The Coan School
The _____ School of medicine was the Coan rival that focused on specific organ disturbances and exact disease diagnosis.,Cnidian
The humoral theory hypothesizes that the human body consists of which four primary bodily fluids?,"Blood, Phlegm, Yellow Bile, and Black Bile"
"In the humoral system, health is defined as a balanced _____ state of the four humors according to an individual's constitution.",Qualitative
"In the humoral theory, which two primary qualities are associated with Blood?",Hot and Moist
"In the humoral theory, which two primary qualities are associated with Phlegm?",Cold and Moist
"In the humoral theory, which two primary qualities are associated with Yellow Bile?",Hot and Dry
"In the humoral theory, which two primary qualities are associated with Black Bile?",Cold and Dry
Which element of the four-element theory corresponds to the qualities of Cold and Dry?,Earth
Which element of the four-element theory corresponds to the qualities of Hot and Dry?,Fire
Which element of the four-element theory corresponds to the qualities of Cold and Moist?,Water
Which element of the four-element theory corresponds to the qualities of Hot and Moist?,Air
"The Hippocratic term for the ""ripening"" or ""cooking"" of excess humors by the body's heat is _____",Coction (or pepsis)
What term refers to a rapid and dramatic resolution of a disease following the successful expulsion of morbid material?,Crisis
What term refers to a gradual recovery where excess humor is slowly discharged over time?,Lysis
"The term ""clinical"" originates from the Greek word klin\bar{e}, which literally means a _____.",Couch or bed
Which physician expanded on the Hippocratic concept of individual uniqueness to hypothesize the four temperaments?,Galen of Pergamum
What are the four temperamental types identified in Galen's expansion of humoral theory?,"Sanguinous, Phlegmatic, Choleric (Bilious), and Melancholic"
"According to Galen, which humor dominates the Choleric (or Bilious) temperament?",Yellow Bile
"According to Galen, what are the primary opposite qualities associated with the Melancholic temperament?",Cold and Dry
"Galen adopted the three-organ theory (heart, liver, and brain) from which Greek philosopher?",Plato
The Greek concept of _____ refers to the world-spirit or life principle drawn into the lungs and heart during respiration.,Pneuma
"In Greek physiology, what was believed to be the driving force that moved and mixed the humors in the body?",Innate heat
Why did Galen primarily rely on the dissection of monkeys and pigs rather than human cadavers?,Roman law and cultural taboos prohibited human dissection during his era.
What anatomical structure did Galen prove contained blood rather than pneuma using a ligation experiment?,Arteries
"In ancient Greece, what was the primary practical function of the art of prognosis for itinerant doctors?",To establish a reputation and gain patient trust by accurately forecasting outcomes.
"The Hippocratic treatise ""On the Sacred Disease"" famously argued that _____ was a natural condition rather than a divine visitation.",Epilepsy
"Who was the Greek half-god of medicine, often depicted with a staff and serpent?",Asclepius
What was the name of the practice where patients slept in a temple of Asclepius to receive a healing dream?,Incubation
"In Greek mythology, which daughter of Asclepius represented the goddess of health and the prevention of disease?",Hygieia
