What specific biological field did Aristotle and his followers launch a massive investigation program into?,Zoology.
Aristotle and Plato viewed abortion as a desirable option in the context of an _____ state.,Ideal.
"In the Aristotelian worldview, the Supreme Being was unable to create matter from _____.",Nothingness.
"According to 17th-century mechanists, Aristotle mistakenly attributed ""_____ causes"" to natural phenomena.",Final.
"Aristotle's concept of morally noble actions, used to establish medical humanitas, is called _____.",Arete.
Which ancient contemporary of Aristotle is credited with writing the first book on animal dissection?,Diocles of Carystos.
Aristotle and his followers sought to depict the _____ self as the exemplary ideal for human nature.,Rational.
"According to Galen, a doctor must first study logic and Aristotelian theories of matter and the _____.",Universe.
The Aristotelian insistence on the purposefulness of the creator countered the _____ belief in a world divided between good and evil.,Manichaean.
"In Aristotelian philosophy, reason allows humans to master their ""_____ appetites.""",Enslaving.
Aristotle's worldview posited that events are determined by _____ laws that even a Deity cannot break.,Natural.
The 18th-century doctrine of _____ was based on medical thinking from the era of Aristotle and Galen.,Predeterminism.
"Georg Ernst Stahl's anti-mechanistic arguments claimed that human activity required a _____, echoing Aristotelian principles.",Soul.
"Mechanists argued that planetary motions were explained by mechanics rather than Aristotelian ""_____.""",Desires.
The Arabic translation movement prioritized Aristotelian _____ and philosophy before translating medical texts.,Logic.
Aristotle's view of Nature as having vitality was replaced by the 17th-century view of Nature as a _____.,Machine.
"Galen’s anatomical text De Usu Partium was intended as a ""sacred discourse"" reflecting the _____ of the Aristotelian creator.",Wisdom.
Aristotle's theories of matter are part of a holistic system of medicine that includes the principles of temperament and _____.,Humours.
The Hippocratic school’s focus on rational rules laid the groundwork for science even before the time of _____.,Aristotle.
Aristotle defined the _____ as the primary enemy of human dignity and freedom.,Irrational.
"In Aristotelian ethics, the term for ""virtue"" or ""excellence"" is _____.",Arete.
Aristotle's criterion for limiting abortion was whether _____ life had already commenced.,Animal.
Which philosopher's theories of matter were considered essential for medical paragons in Alexandria and Athens?,Aristotle.
Aristotle is credited with giving science the concept of _____ and effect.,Cause.
"17th-century philosophers believed Aristotelian ""_____ causes"" should be replaced by mechanics.",Primary.
Galen believed that the proper way to worship the Creator was through Aristotelian _____ and observation.,Experiment.
The peripateticks of the 17th century were known for following the philosophy of _____.,Aristotle.
Philosophy ennobled reason in the Aristotelian tradition through the pursuit of _____.,Self-knowledge.
Aristotle believed the universe functions according to _____ rules.,Rational.
"In the interpretation of the 18th-century poet Alexander Pope, ""Whatever IS, is RIGHT"" reflects the _____ legacy of Aristotle.",Intellectual.
Term: Teleology.,Definition: The study of evidence of design or purpose in nature.
Term: Arete.,Definition: Moral excellence or virtue as defined by Aristotle.
Term: Peripatetick.,Definition: A follower of Aristotelian philosophy.
Aristotle’s contemporary _____ of Carystos wrote the first book on dissection.,Diocles.
The world of Aristotle and Galen was governed by unbreakable _____ laws.,Natural.
Aristotle and Plato both viewed _____ as a desirable option for an ideal state.,Abortion.
17th-century mechanists argued that Nature was made of particles of _____ matter.,Inert.
Galen required doctors to study _____ logic before practicing medicine.,Aristotelian.
"Aristotle's ""final causes"" were denounced by the philosopher _____.",René Descartes.
The Aristotelian insistence on purposefulness struck at the _____ notion of cosmic dualism.,Manichaean.
Aristotelian philosophy posits that everything in the universe is created from _____ elements.,Four.
Aristotle assigned the term _____ to the noble actions of a statesman.,Arete.
Aristotle’s criteria for abortion centered on the start of _____ life.,Animal.
"The depiction of the rational self was a goal shared by Socrates, Plato, and _____.",Aristotle.
"In the Aristotelian tradition, reason must master _____ appetites.",Enslaving.
Galen used Aristotelian principles to fill in knowledge gaps with _____.,Speculation.
Aristotle helped lay the groundwork for science by introducing the concept of _____ and effect.,Cause.
Peripateticks was the name given to the followers of _____.,Aristotle.
Aristotle's worldview held that God could not create matter from _____.,Nothingness.
"For Aristotle, the irrational was the enemy of human _____.",Dignity.
"17th-century scientific thinkers sought to replace Aristotelian ""why"" with _____.",How.
The doctrine of predeterminism was the _____ heritage of Aristotle and Galen.,Intellectual.
Georg Ernst Stahl claimed that human action cannot be explained solely by _____ chain-reactions.,Mechanical.
"Stahl's concept of the soul was more than a Cartesian ""_____ in the machine.""",Ghost.
Newton's natural philosophy encouraged a move away from narrowly _____ views of the body.,Mechanistic.
"In the 18th century, medicine was expected to study _____ causes rather than primary causes.",Secondary.
"Aristotle and his followers systematically reasoned about nature, society, and _____.",Consciousness.
The master-plan philosophy that dominated medicine for 1500 years was rooted in _____.,Aristotle.
Aristotle's zoological investigation was a _____ programme of research.,Massive.
"Aristotle's theories of matter and the universe were essential for the ""erudite _____"" of a doctor.",Paragon.
Aristotle’s purposefulness of the divine creator was a rejection of _____ miracles.,Capricious.
"The ""nucleus of a moral philosophy"" for doctors was linked to Aristotle's _____.",Arete.
Aristotle believed self-knowledge allowed reason to master human _____.,Nature.
"The Greek fascination with transcendental ""fire"" existed alongside the _____ focus on reason.",Aristotelian.
Aristotle’s worldview required that all observations fit into a scheme where all is _____.,Preordained.
