"According to the humoral theory, what state of the four bodily fluids defines health?",Health is defined as a balanced qualitative state or specific equilibrium of the humours.
Name the four bodily fluids that constitute the pillars of Hippocratic humoral theory.,"The four humours are Blood, Phlegm, Yellow Bile, and Black Bile."
Which two primary qualities are associated with the humor Blood (Sanguinous)?,Blood is characterized by Hot and Moist qualities.
What are the primary qualitative characteristics of the humor Phlegm?,Phlegm is characterized by Cold and Moist qualities.
Which qualitative pairing defines Yellow Bile (Choleric/Bilious)?,Yellow Bile is characterized by Hot and Dry qualities.
Black Bile (Melancholic) is associated with which two primary qualities?,Black Bile is characterized by Cold and Dry qualities.
"In the macrocosmic theory of elements, which element corresponds to the humor Blood?",The humor Blood corresponds to the element of Air.
To which of the four elements of creation is Phlegm linked?,Phlegm is linked to the element of Water.
Yellow Bile is considered a microcosmic form of which macrocosmic element?,Yellow Bile corresponds to the element of Fire.
Which element represents the humor Black Bile in the theory of creation?,Black Bile corresponds to the element of Earth.
What term did the Greeks use to describe the body's inherent instinctive reaction to restore humoral homeostasis?,The Greeks called this self-healing power Physis (or Vis Medicatrix Naturae).
The driving force that generates and balances humours from digested food is known as _____.,Innate heat
"According to Hippocrates, where is the humor Blood thought to originate in the body?",Blood is thought to originate in the heart.
"In the ancient humoral system, which organ is identified as the source of Yellow Bile?",The liver is identified as the source of Yellow Bile.
Which organ was traditionally associated with the production of Phlegm?,The brain was traditionally associated with the production of Phlegm.
Which organ was believed by the Greeks to be the site of origin for Black Bile?,The spleen was believed to be the site of origin for Black Bile.
What is the primary function of the physician in relation to the humoral state of the patient?,The physician's role is to help nature (Physis) restore the state of humoral equilibrium.
The process where the body's innate heat 'ripens' or 'cooks' an excess humor into an expellable form is called _____.,Pepsis (or coction)
"In humoral pathology, what occurs during a 'crisis'?",A crisis is the rapid and dramatic expulsion of morbid humoral material from the body.
How does 'lysis' differ from 'crisis' in the context of humoral discharge?,Lysis refers to the gradual discharge of morbid material rather than a sudden event.
Galen expanded the humoral theory by categorizing individuals into four main _____.,Temperaments
A person with a dominant humor of Blood is said to have a _____ temperament.,Sanguinous
Which temperament is associated with a dominance of Yellow Bile?,The Choleric (or Bilious) temperament is associated with Yellow Bile.
The Phlegmatic temperament is characterized by the dominance of which humor?,The Phlegmatic temperament is dominated by Phlegm.
A dominance of Black Bile results in which specific temperament?,It results in a Melancholic temperament.
"Which season is associated with an increase in the cold-wet humor, Phlegm?",Winter is associated with an increase in Phlegm.
Spring is thought to cause an increase in which humor due to its wet and hot nature?,Spring causes an increase in Blood.
The dry heat of Summer encourages the dominance of which bodily fluid?,Summer encourages the dominance of Yellow Bile.
"Which humor predominates during the cold, dry season of Autumn?",Black Bile predominates during Autumn.
"Hippocrates identified that 'Pepsis' refers not just to food digestion, but also to the relationship between _____.",The organism and its environment.
What is the fundamental therapeutic principle of 'allopathic medicine' in humoral theory?,The principle is to treat an illness condition with medication having opposite qualities to the symptoms.
"If a patient suffers from a cold-dry condition, what qualitative properties should the treatment possess?",The treatment should possess hot and moist qualities.
Which spiritual essence was believed to be drawn into the lungs and mixed with blood in the heart to bring life?,The pneuma was the spiritual essence believed to animate the body.
What modern medical concept is the equivalent of the ancient term Vis Medicatrix Naturae?,Homeostasis is the modern equivalent.
Why did Hippocrates state that it is more important to know the sort of person who has a disease than the disease itself?,Knowing the person allows for an individualistic approach based on their unique humoral constitution.
Ibn Sina comprehensively detailed the relationship between the individual and the environment through the _____.,Six Essential (Lifestyle) Factors
"According to the Institute's research, an individual's temperament is a combination of a dominant and a _____ temperament.",Sub-dominant
"In the temperamental chart, why can a Sanguinous dominant individual not have a Melancholic sub-dominant temperament?",Opposite qualities (Hot/Moist vs. Cold/Dry) cannot exist simultaneously in adjacent temperaments.
What specific qualitative combination defines the 'ideal' health state of a human being at 37^{\circ}C?,The ideal human state is defined as Hot and Moist.
The temperament of minerals is described as _____.,Cold and Dry
Which qualitative state is assigned to plants in the humoral framework?,Plants are assigned a Cold and Moist temperament.
"According to the three-organ theory, what is the dominant quality of the Brain?",The dominant quality of the Brain is moistness.
What is the dominant quality of the Heart in the vital faculty system?,The dominant quality of the Heart is dryness.
"The Metabolic faculty, seated in the Liver, is characterized by which dominant quality?",The Metabolic faculty is characterized by heat.
