In which London hospital did Alexander Fleming conduct his research into bacteriology?,St Mary's Hospital.
What antimicrobial enzyme did Alexander Fleming discover in human nasal secretions in 1922?,Lysozyme.
Why was Fleming's 1922 discovery of lysozyme considered medically impractical at the time?,It could not be prepared in a concentrated form.
In what year did Alexander Fleming first observe the bactericidal effects of penicillin?,1928.
Which specific genus of bacteria was Alexander Fleming culturing when he discovered penicillin?,$\textit{Staphylococcus}$.
What was the genus of the contaminating mould that led to the discovery of penicillin?,$\textit{Penicillium}$.
How did the mould spores reach Alexander Fleming's culture plate in 1928?,They were airborne spores.
What specific observation regarding the bacteria near the mould colony sparked Fleming's interest?,The bacteria were killed (creating a zone of inhibition).
Why did Fleming choose to investigate the contaminated culture plate rather than discard it?,He believed the event was worth investigating rather than seeing it as a nuisance.
What was the primary barrier that prevented Alexander Fleming from isolating pure penicillin himself?,He lacked the necessary chemical skills and resources.
Fleming's 1928 discovery was based on which biological phenomenon?,Antibiosis.
What name did Alexander Fleming give to the bactericidal substance produced by the mould?,Penicillin.
For what non-therapeutic purpose did Fleming initially use his crude penicillin preparations?,As a tool for identifying specific bacteria.
How did the source material describe the results of Fleming's early clinical studies with crude penicillin?,Unrewarding.
Alexander Fleming shared the 1945 Nobel Prize in Physiology or Medicine with which two scientists?,Howard Florey and Ernst Chain.
"At the outbreak of the Second World War, what was the developmental status of Fleming's penicillin?",It was still at the laboratory stage.
Fleming's discovery of penicillin is credited as the 'launch pad' for which modern industry?,The pharmaceutical industry.
"Compared to the earlier group of 'sulpha' drugs, how is the toxicity of penicillin described?",Virtually non-toxic.
Which human secretion served as the source for Fleming's first antimicrobial discovery in 1922?,Nasal secretions.
The success of Fleming's penicillin helped ignite the 'first pharmacological revolution' in which decade?,The 1950s.
Concept: Lysozyme,Definition: An antimicrobial enzyme discovered by Fleming in 1922 that he could not concentrate for medical use.
Who provided the biochemical expertise to obtain the concentrated penicillin that Fleming could not?,Ernst Chain.
Alexander Fleming's 1928 discovery occurred at which London research site?,St Mary's Hospital.
Term: Antibiosis,Definition: The killing or inhibition of one organism by the metabolic products of another.
Fleming's work was a significant departure from the 'magic bullet' approach of which earlier scientist?,Paul Ehrlich.
"By 1944, penicillin was available to treat casualties in which specific regions of the Second World War?",North Africa and Europe.
How did the history of surgery change after the widespread introduction of Fleming's penicillin?,Operations previously deemed too risky due to infection became feasible.
Which American pharmacologist assisted Florey in finding US companies to produce Fleming's discovery?,A. N. Richards.
Which foundation provided the support necessary to develop Fleming's discovery into a usable drug?,The Rockefeller Foundation.
Which major US pharmaceutical companies were among the first to invest in producing penicillin?,"Merck, Squibb, and Pfizer."
"Cloze: In 1922, Alexander Fleming discovered _____, an antimicrobial enzyme found in nasal secretions.",lysozyme
Cloze: The discovery of penicillin in 1928 occurred when a culture plate of _____ was contaminated by mould.,staphylococci
What happened to the dream that antibiotics like penicillin would end all infectious diseases?,It faded as strains of bacteria resistant to drugs steadily emerged.
The introduction of penicillin in the 1940s is often referred to as the start of which medical period?,The post-modern period of medicine.
"Before Fleming, which 1870s surgeon is noted for treating a patient with $\textit{Penicillium}$ mould?",Joseph Lister.
What was the significance of the year 1945 in Alexander Fleming's professional career?,He was awarded the Nobel Prize for his work on penicillin.
Why was the discovery of penicillin initially met with pessimism from other scientists?,Antibacterial chemotherapy was widely considered an impossible dream at the time.
How did the availability of penicillin affect the survival rate of pneumonia and meningitis?,It transformed them from frequently fatal infections into treatable conditions.
Which Oxford pathologist worked alongside Ernst Chain to develop Fleming's discovery?,Howard Florey.
Fleming's 1928 observation showed that microbes on a culture plate could _____.,Stop other kinds of bacteria from growing.
What motivated Howard Florey to seek American help for Fleming's discovery during WWII?,No British pharmaceutical company was prepared to risk substantial resources during the war.
Fleming's naming of 'penicillin' was derived from what source?,"The genus of the mould, $\textit{Penicillium}$."
"In the context of Fleming's discovery, what is a 'zone of inhibition'?",The clear area around a mould colony where bacteria cannot grow.
How did the nature of surgery change in the 50 years following Fleming's discovery?,It shifted from a philosophy of extirpation (cutting out) to continuous repair and replacement.
What was the professional background of Alexander Fleming?,He was a bacteriologist.
"Cloze: Alexander Fleming noticed that bacteria were killed near the mould, an event he called _____.",worth investigating
Which Ukrainian-born American isolated streptomycin in 1944 following the success of penicillin?,Selman Waksman.
How did Fleming's work contribute to the decline of tuberculosis?,His penicillin discovery prompted the search for other antibiotics like streptomycin.
What is the key difference between penicillin and the earlier sulphonamides regarding patient safety?,"Penicillin is virtually non-toxic, whereas sulphonamides had serious ill-effects like blue-tinted skin."
What year did Fleming discover the substance he named penicillin?,1928.
"In 1944, penicillin was first used on battle casualties in which two continents?",Africa (North) and Europe.
What was the outcome of the first clinical studies involving Fleming's crude penicillin?,They were unrewarding.
Concept: The First Pharmacological Revolution,Definition: The broad expansion of biological drugs and antibiotics in the 1950s sparked by the success of penicillin.
Which university was the site of the Dunn School of Pathology where penicillin was concentrated?,Oxford University.
How many years after the discovery of penicillin did Fleming receive the Nobel Prize?,17 years (1928 to 1945).
Which common bacterial killer was the primary target of Fleming's 1928 culture plates?,$\textit{Staphylococci}$.
What term did Fleming use for the antimicrobial substance he found in 1922?,Lysozyme.
How did Alexander Fleming's scientific attitude toward 'spoilage' lead to a breakthrough?,He investigated the contamination instead of seeing it as a nuisance.
Why did Howard Florey eventually leave Britain to develop Fleming's discovery?,To seek manufacturing help from the Rockefeller Foundation in the USA.
What happened to the bacteria on Fleming's plate that were far away from the mould?,They continued to grow normally.
