"In what year was Andreas Vesalius's influential anatomical work, *De Humani Corporis Fabrica*, first published?",1543
"Which major work of astronomy was published in 1543, the same year as Vesalius's *Fabrica*?",Copernicus's *De Revolutionibus Orbium Coelestium*
In what city did Vesalius receive his Doctor of Medicine degree and become a professor of surgery and anatomy in 1537?,Padua
"Prior to Vesalius's reforms, what was the standard role of a medical professor during an anatomy lesson?",Sitting in a high chair reading a Galenic text while others dissected.
Which ancient physician's anatomical authority did Vesalius systematically dismantle through human dissection?,Galen
Vesalius realized that Galen's anatomical descriptions were flawed because they were based on the dissection of _____.,Animals (specifically apes and monkeys)
Who was the primary artist and pupil of Titian credited with the illustrations in the *Fabrica*?,Jan Stephan van Calcar
In which city did Joannes Oporinus print the first edition of the *Fabrica*?,Basel
How many 'books' or volumes make up the *De Humani Corporis Fabrica*?,Seven
"To which monarch did Vesalius dedicate his masterpiece, *De Humani Corporis Fabrica*?",Holy Roman Emperor Charles V
The term *fabrica* in Vesalius's title refers to the body as a(n) _____.,"Artisan's workshop or kinetic ""workings"" of the living body"
What was the name of the six anatomical charts published by Vesalius in 1538 as learning guides?,Tabulae Anatomicae Sex
"Which nonexistent vascular network at the base of the brain, described by Galen, did Vesalius prove was absent in humans?",The *rete mirabile*
"Which conservative Paris professor and former teacher of Vesalius became his most vocal critic, calling him a ""madman""?",Jacobus Sylvius (Jacques Dubois)
How did Jacobus Sylvius explain the differences between Vesalius's findings and Galen's texts?,He claimed human anatomy had degenerated since Galen's time.
"While studying in Paris, Vesalius frequently scavenged for human bones at which execution site?",The gallows of Monfaucon
What was the primary legal source of cadavers for university anatomical demonstrations in the 16th century?,Executed criminals
The 'muscle men' illustrations in the *Fabrica* are set against a continuous landscape representing the _____.,Euganean hills (southwest of Padua)
"In 1543, what dramatic action did Vesalius take in response to the fierce criticism from Galenists?",He burned his clinical notes and manuscripts.
Concept: The Anatomical Concept of Disease,Definition: The principle that symptoms are caused by specific structural changes in particular organs.
Term: Topographical Anatomy,Definition: The study of anatomical structures in relation to the overlying skin surface.
How did Vesalius acquire the articulated skeleton he used while studying at Louvain?,He stole the remains of an executed criminal from a roadside gibbet.
What pedagogical innovation did Vesalius introduce upon becoming a professor at Padua?,He personally performed the dissections while lecturing.
What visual aid did Vesalius use on cadavers before beginning an incision for his students?,He sketched the outlines of bones on the skin surface.
Which primate did Galen use as his primary model for human internal anatomy?,The macaque monkey
The first book of the *Fabrica* provides a detailed study of which system?,The skeletal system (bones)
The second book of the *Fabrica* is devoted to the description of _____.,The muscular system
What was Vesalius's finding regarding the interventricular septum of the heart?,He proved it was solid and lacked the 'pores' claimed by Galen.
Which of Vesalius's successors at Padua discovered the valves of the veins?,Girolamo Fabrizio (Fabricius ab Acquapendente)
During a famous visit to which city in 1540 did Vesalius first publicly declare that Galen had never dissected a human?,Bologna
Vesalius's favorite portrait of himself in the *Fabrica* depicts him dissecting which specific part of the body?,The hand
How did the invention of movable type facilitate the Vesalian revolution?,"It allowed for the mass production of standardized, high-quality anatomical illustrations."
On which island did Vesalius die in 1564 following a shipwreck and illness?,Zante
What was Vesalius's professional role after leaving his professorship at Padua in 1544?,Physician to the Imperial Court of Charles V (and later Philip II)
"Which shorter, condensed version of the *Fabrica* did Vesalius publish for the use of students?",The *Epitome*
Which 15th-century Pope issued a bull permitting human dissection with local clerical approval?,Pope Sixtus IV
What did Vesalius correct regarding Galen's description of the human liver?,He proved it did not have five lobes.
Vesalius corrected Galen's claim that the human sternum (breastbone) consisted of _____ segments.,Seven
"In the *Fabrica*, Vesalius urged physicians to abandon slavish reliance on books and instead trust their own _____.",Sight and powers of reason
Which language was the academic standard for Renaissance medical texts like the *Fabrica*?,Latin
Who was the assistant to Vesalius who later ridiculed him and claimed credit for discovering the pulmonary circulation?,Realdo Colombo
Vesalius argued that a sound understanding of anatomy was the essential foundation for which medical specialty?,Surgery
Which anatomical school first introduced human dissection as part of the curriculum in 1315?,Bologna (under Mondino dei Liuzzi)
What was the significance of the second edition of the *Fabrica* published in 1555?,"It contained more explicit denials of Galenic physiology, such as the heart's septal pores."
Vesalius served as an assistant to which professor in Paris while helping prepare the *Institutiones Anatomicae*?,Guinter of Andernach
What was the 'anatomico-localist' perspective that gained prominence after Vesalius?,The view that identifies diseases with specific localized lesions in the body.
"In his youth, Vesalius began his anatomical training by dissecting which types of subjects?","Small field animals (rats, moles, cats, dogs)"
Which mathematical and astronomical scholar was Vesalius's friend and partner in Louvain during his early dissections?,Gemma Frisius
"According to Vesalius, Galen had been ""deceived by his _____.""",Monkeys
The first teaching involving a human corpse is credited to Mondino dei Liuzzi in which year?,1315
What specific observation in Bologna led Vesalius to realize Galen's descriptions were based on animals?,Comparing the backbone of a human to that of an ape.
Vesalius criticized the medical schools of his time for the 'deplorable dismemberment' of healing into which three separate roles?,"Physician (theory), Apothecary (drugs), and Barber (surgery)."
"Where was Vesalius born, and what was his family's ancestral town?",Born in Brussels; ancestral home was Wesel.
Vesalius's baccalaureate thesis at Louvain was a paraphrase of which Arab physician's work?,Rhazes
Why did Vesalius believe surgery had become a 'crude' art by the early 16th century?,Because physicians had abandoned manual work and delegated surgery to untrained barbers.
Which Belgian city was the site of Vesalius's early medical education before he moved to Paris?,Louvain
The *Tabulae Anatomicae Sex* included three drawings of the skeleton executed by _____.,Jan Stephan van Calcar
What does the frontispiece of the *Fabrica* symbolize in the history of medicine?,The revolution in anatomical study where the professor is the primary observer and dissector.
Vesalius noted that the stomach outlet (lower orifice) was larger than Galen taught after observing a Spaniard swallow a(n) _____.,"Necklace (pearls, cross, and clasp)"
"Vesalius was named after his father, who held what position in the imperial court?",Apothecary
"In 1551, Jacobus Sylvius published a book titled *A Refutation of the Slanders of a _____* to attack Vesalius.",Madman
What was Vesalius's final destination on his ill-fated pilgrimage in 1564?,Jerusalem
Vesalius was the first anatomist to systematically test the teachings of the Greeks against _____.,Visual evidence of personal dissection
What impact did the *Fabrica* have on the validity of ancient authorities like Galen?,It stripped them of their unquestioned validity and necessitated firsthand observation.
Which 16th-century surgeon used Vesalius's work for the anatomical section of his classic work on surgery?,Ambroise Paré
