What term describes human infections that are acquired from or shared with wild or domesticated animals?,Zoonoses
"According to the historian William McNeill, how many distinct diseases do humans share with domesticated dogs?",65
How did irrigation farming in early river valley civilizations promote the spread of the blood fluke Schistosoma?,"It created warm, shallow waters where aquatic snails served as intermediate hosts for the parasite."
Why did the transition to sedentary agriculture lead to higher rates of child mortality compared to hunting and gathering?,Children suffered from protein-energy malnutrition after being abruptly weaned onto a single staple cereal crop.
"In the context of medical geography, why were pre-modern cities considered ""magnets for pathogens""?",High population density and poor sanitation made them so unhealthy that they could only maintain their numbers through migration from the countryside.
The first documented quarantine to block the spread of the Black Death was imposed in 1377 at which location?,Dubrovnik
Why were the early pioneers who crossed the Bering land bridge into the Americas relatively free of Old World diseases?,"The rigors of the cold crossing eliminated the weak, and they left before the domestication of most animals."
Which two highly lethal diseases were introduced to the Americas primarily as a result of the transatlantic slave trade?,Yellow fever and falciparum malaria
"In the geographic exchange of diseases, the Americas are often cited as the likely origin of which infection spread to the Old World?",Venereal syphilis
The cradle of the rodent disease Yersinia pestis (bubonic plague) is believed to be located in which geographic region?,The Himalayas (where China and India share a border)
Why did native populations in the Andes and central Mexico recover more successfully from Old World diseases than those in the Caribbean lowlands?,The mosquito vectors for African diseases like yellow fever and malaria do not thrive at high altitudes.
Which specific agricultural practice in sub-Saharan Africa led to the proliferation of the mosquito Anopheles gambiae?,Slash-and-burn agriculture
The technique of variolation to prevent smallpox is believed to have originated in which country?,China
How many shared diseases do humans have with domesticated cattle?,50
"What was the literal translation of the Italian term ""malaria"" used to describe the ""bad air"" of marshes?",Bad air
The first wave of the Black Death (1347–1350) is estimated to have killed what percentage of Europe's total population?,25 per cent
Which Portuguese explorer inadvertently spearheaded the spread of syphilis as far east as Japan in 1498?,Vasco da Gama
Edwin Chadwick’s 1842 report for the British government argued that _____ was the primary driver of public poverty and expense.,Disease (specifically caused by public dirt and poor sanitation)
What was the traditional geographic home of cholera before it began its 19th-century global pandemics?,The Indian subcontinent (specifically the Ganges region)
"In the 1890s, the third pandemic of bubonic plague reached the United States through which port city?",San Francisco
The dietary disease pellagra historically affected populations in the American South and Europe who relied on which staple crop?,Maize (corn)
What geographic strategy did 14th-century Italian Health Boards use to isolate arriving travelers and goods suspected of carrying plague?,Quarantine
Why did the treponemal disease yaws transition into non-venereal syphilis (bejel) in dry North Africa?,"Heavier clothing prevented skin-to-skin contact, forcing the pathogen to spread via shared eating and drinking utensils."
Which 19th-century Public Health Act in Britain was passed as a direct result of the recurrence of epidemic cholera?,Public Health Act of 1848
Who first identified bacteria such as streptococci and bacilli in 1676 using a simple microscope?,Anton van Leeuwenhoek
Which Scottish doctor demonstrated in the late 19th century that elephantiasis was transmitted by an insect vector?,Patrick Manson
The 6th-century AD plague that devastated Constantinople and the Mediterranean is known as the _____.,Plague of Justinian
What was the primary environmental cause of rickets among children in 19th-century industrialized cities?,Lack of sunlight in overcrowded urban slums
Which genetic trait provides an energy metabolism deficit that increases resistance to falciparum malaria?,Glucose-6-phosphate dehydrogenase (G6PD) deficiency
"What 1546 work by Girolamo Fracastoro predicted the existence of ""seeds"" or germs called seminaria?",De Contagione
"Why did ""white lung disease"" (asbestosis) become a significant health issue in the modern industrial world?",It was an occupational hazard for workers engaged in handling asbestos.
"In colonial Africa, highly mobile laborers unintentionally spread which disease into urban slums after it was introduced by Europeans?",Tuberculosis
The 1842 Chadwick report narrow its practical focus to public expenditure on which two environmental infrastructure items?,Water supply and drains
"Which 18th-century Scottish physician advocated for barrack-room ventilation and better latrines to prevent ""gaol fever"" in the army?",Sir John Pringle
What biological reason prevented measles and smallpox from troubling ancient hunter-gatherer groups?,"Their pathogens require large, dense populations for survival to prevent the chain of infection from burning out."
Why did agriculturalists suffer more frequently from iron-deficiency anaemia than their hunter-gatherer ancestors?,They moved from a diverse diet to one centered heavily on a single staple cereal crop.
The introduction of the potato from the Americas to Europe in the 16th century provided a vital source of which vitamin?,Vitamin C (ascorbic acid)
"In the context of the history of medicine, what is ""miasma""?",Poisonous atmospheric exhalations given off by putrefying organic matter and filth.
The medical specialist Louis-Rene Villerme demonstrated in the 1820s that mortality in Paris was most closely correlated with _____.,Poverty
Which occupational hazard resulted from exposure to phosphorus among 19th-century matchworkers?,Phossy jaw
How did the invention of the steam-driven mill in the late 1950s contribute to a leading cause of death in parts of Asia?,"It stripped the thiamine-rich husk from rice, leading to fatal beriberi."
Which 18th-century island population experienced a 90 per cent reduction within a century of Captain James Cook's arrival?,Native Hawaiians
What major epidemiological milestone occurred when plagues in Japan transformed into endemic childhood illnesses?,"The population produced enough non-immune children to host the diseases continuously, preventing devastating adult plagues."
Which zoonotic illness is acquired specifically through the consumption of undercooked pork containing the nematode worm Trichinella spiralis?,Trichinosis
How many shared diseases do humans have with domesticated sheep and goats?,46
The presence of ancient temples dedicated to smallpox deities suggests the disease was present early in which country?,India
What was the estimated mortality rate for the bubonic form of the plague prior to the advent of antibiotics?,60 per cent
"Which infectious disease, feared in the 12th and 13th centuries, resulted in the creation of isolated ""leper houses""?",Leprosy
"In 1775, London surgeon Percivall Pott identified the first cancer-causing occupation by linking scrotal cancer to _____.",Chimney sweeps (due to irritation caused by soot)
"The term ""kwashiorkor"" literally translates to ""the sickness of the deprived child"" and is used to describe which nutritional condition?",Protein-energy malnutrition (PEM)
"Which disease was historically dubbed the ""white plague"" due to the characteristic pallor of its sufferers?",Tuberculosis
"What geographic feature allowed the first humans to enter Australasia at least 50,000 years ago?",Lowered sea levels during the ice age exposing walkable land.
How many shared diseases do humans have with domesticated pigs?,42
Which infectious agent was the first to be definitively linked to an insect vector (the mosquito) by Patrick Manson?,Filaria (or Wuchereria)
What environmental condition is necessary for the survival of the mosquito vectors that transmit yellow fever?,Low altitudes (significantly near sea level)
"The first widespread epidemic in the Roman Empire, occurring between AD 165 and 180, is known as the _____.",Antonine plague
The spirochaete bacterium Treponema is the causal agent for which four major diseases?,"Pinta, yaws, non-venereal syphilis (bejel), and venereal syphilis"
"What major change in human behavior roughly 10,000 years ago is described as the ""most important event ever engineered by humankind"" regarding disease?",The agricultural revolution (settling down and domesticating plants/animals)
Which rickettsial disease is transmitted by ticks and found today from Brazil to Canada?,Rocky Mountain spotted fever
"In 19th-century Britain, why did physicians and merchants set up ""fever hospitals"" in industrial towns like Manchester?",To combat the infections characteristic of overcrowded lodging-houses and cellar dwellings.
