Who was the eighteenth-century surgeon that served as Edward Jenner’s mentor and encouraged his experimental approach?,John Hunter
What famous advice did John Hunter give to Edward Jenner regarding his theories on medical research?,"""Why think? Why not try the experiment?"""
In what year did Edward Jenner perform the first vaccination against smallpox using cowpox?,1796
The early technique of inserting smallpox pus into the skin to induce a mild form of the disease is known as _____.,Variolation
Why was variolation considered a dangerous public health practice before Jenner's discovery?,It could be fatal to the patient or trigger new epidemics.
Smallpox is believed to have adapted to humans through a long evolutionary process from what animal disease?,Cowpox
In which century did variolation likely originate before being introduced to England?,The early eighteenth century
Variolation was a technique possibly originated in which two ancient civilizations?,China and India
"Which disease was historically dubbed the ""white plague"" to contrast it with the Black Death?",Tuberculosis
What was the symbolic significance of the year 1979 in the history of global public health?,It marked the final global eradication of smallpox.
"In 1977, the World Health Organization achieved the global eradication of which disease?",Smallpox
"Why did Louis Pasteur adopt the term ""vaccine"" for his microbiological treatments?",To honor the pioneering work of Edward Jenner.
Term: Immunity,Definition: The state of being exempt from a particular disease through resistance or infection history.
Which scientist shared a Nobel Prize with Paul Ehrlich in 1908 for his work on immunology and phagocytosis?,Elie Metchnikoff
"In 1881, Louis Pasteur conducted a sensational experiment using his new vaccine on which group of animals?",Sheep
"For which disease, common to both animals and humans, did Louis Pasteur develop a vaccine in 1885?",Rabies
The causative bacillus for which disease was isolated by Edwin Klebs in 1883?,Diphtheria
Which two scientists developed the first diphtheria antitoxin in 1890?,Emil Adolf von Behring and Shibasaburo Kitasato
The serum of which animal was primarily used to produce the diphtheria antitoxin for humans?,Horse
In what year did the first commercial vaccines against diphtheria begin production?,1892
How did the introduction of the diphtheria antitoxin change the public image of physicians?,It demonstrated that medicine was truly capable of curing life-threatening infectious diseases.
Who introduced the first successful polio vaccine in 1955?,Jonas Edward Salk
Who developed the oral polio vaccine in 1960?,Albert Bruce Sabin
In what year were the Americas officially declared a polio-free zone?,1994
What vaccine was introduced in the 1940s to combat tuberculosis?,BCG vaccine
Which antibiotic was introduced in the 1940s alongside the BCG vaccine to treat tuberculosis?,Streptomycin
"Who developed the first chemically synthesized vaccine, known as SPf66, against malaria?",Manuel Patarroyo
What makes the SPf66 malaria vaccine unique compared to traditional vaccines?,It is chemically synthesized rather than being made through a biological process.
Which scientist was awarded the Nobel Prize in 1951 for developing a vaccine against yellow fever?,Max Theiler
What ancient evidence exists in India suggesting smallpox was present in antiquity?,Ancient temples erected to worship a smallpox deity.
How did the population growth in the late twentieth century relate to medical advancements?,Population doubling was largely caused by new medical interventions and preventions like vaccines.
Which British social reformers and medical groups were primary opponents of compulsory smallpox vaccination around 1870?,Homeopaths and religious dissenters
Why did religious dissenters in the nineteenth century often oppose state-mandated vaccination?,They opposed medical monopoly in the same way they opposed state churches.
Which specific vaccine made possible the total elimination of smallpox by the end of the eighteenth century (theoretically) and finalized in the twentieth?,Cowpox vaccine
Which 19th-century bacteriologist introduced vaccines developed from treated organisms of plague and cholera around 1900?,Waldemar Haffkine
What was the significance of the 1848 Public Health Act in Britain regarding disease prevention?,It established a General Board of Health and led to the appointment of local medical officers.
"The first surgical intervention for ""blue babies"" in 1944 was pioneered by which two medical professionals at Johns Hopkins?",Helen Taussig and Alfred Blalock
"According to the text, what happened to the mortality rate of Japanese adults once plagues became endemic childhood diseases?","Mortality fell because adults became immune, and the disease was less severe in children."
"In the nineteenth century, what was the primary public health measure used to keep plague and other contagious diseases at bay before mass vaccination?",Quarantine measures
How did the germ theory change the understanding of immunity in the late nineteenth century?,It allowed for the study of how infections could be prevented by using vaccines and antitoxins.
Which country is historically associated with the first use of chlorine to purify water as a public health measure?,Britain
What is the name of the vaccine-prevention factor found in unpolished rice that cures beriberi?,Vitamin B_{1} (thiamine)
"The ""side-chain"" theory of immunity, explaining antigen-antibody interaction, was proposed by _____.",Paul Ehrlich
What major shift in public health occurred in the mid-19th century regarding state responsibility in Britain?,The state began managing the sanitary consequences of the urban industrial economy.
Who was the first medical officer for the British central government that linked public health to laboratory science in the 1860s?,John Simon
Which research institute in Paris was established through public subscription to honor the creator of the rabies vaccine?,The Pasteur Institute
How did the 1892 Hamburg cholera epidemic influence public health policy in Germany?,It led to the replacement of liberal approaches with Robert Koch's imperial bacteriology.
Which foundation in the USA funneled industrial wealth into medical research and vaccine development in the early 20th century?,Rockefeller Foundation
"By the year 1900, how much of the gross national product of several European nations and the USA went toward health services?",More than 10 per cent
"Which 19th-century medical movement emphasized ""natural"" healing and often opposed the use of ""chemical"" vaccines?",Homeopathy
What effect did improved sanitation in the 20th century have on the age at which children first encountered the polio virus?,"It delayed exposure, preventing early natural immunization and leading to more severe paralysis in older children."
What is the primary obstacle to making the hepatitis B vaccine available in many poor countries today?,The high cost of the vaccine.
Why is the malaria parasite particularly difficult to block with a single vaccine?,It has a complex life cycle with multiple distinct steps.
