Which 16th-century movement encouraged fresh biomedical inquiry by purifying old doctrines and discovering new truths?,The Renaissance.
"During the Scientific Revolution, the body began to be compared to the running of what type of object?","A well-tuned, well-oiled machine."
"Which Renaissance anatomist began the systematic dissection of the human body, laying the foundation for modern medical research?",Andreas Vesalius.
What was the primary method introduced in the 17th century that put medicine on a 'new footing'?,Observation and experiments.
"Who is credited with the 17th-century discovery of the double-helical structure of DNA, marking a later peak in medical science?",Francis Crick and James Watson.
Which 17th-century physician depicted the heart as a pump and argued for the circulation of the blood?,William Harvey.
What was the name of William Harvey's revolutionary 1603 treatise on the blood system?,$De$ $Motu$ $Cordis$.
"Before the Scientific Revolution, Galen believed that veins carrying blood originated in which organ?",The liver.
Which 17th-century philosopher denounced Aristotle for endowing Nature with 'desires' and instead viewed Nature as a machine?,René Descartes.
Descartes' philosophy that separated the mind from the body is known as _____.,Mind-body dualism.
"According to the mechanical world-view of the 17th century, nature was made up of what type of matter?",Particles or corpuscles of inert matter.
The mechanical outlook depicted sickness as a _____.,Mechanical breakdown (such as a blockage or fuel shortage).
"Which 17th-century philosopher joined Descartes in arguing that Nature was governed by the laws of mechanics, matter, and motion?",Thomas Hobbes.
The reductionist program of the Scientific Revolution sought to explain the complex in terms of the _____.,Simple.
"In the mechanical paradigm, the biological is explained in terms of the _____ or _____.",Physical; chemical.
"Which Italian scientist used the microscope to conduct studies of the liver, lungs, and brain in the 17th century?",Marcello Malpighi.
The group of doctors convinced that the laws of physics offered the best explanation for the body's operations were called _____.,Iatrophysicists.
Giovanni Borelli of Pisa explained the operation of muscles by using the analogy of man-made mechanisms like _____.,Levers and pulleys.
What 17th-century development created the 'dream of a scientific understanding' of the body's structures and functions?,The link between gross anatomy and physiology.
"Which 16th-century radical thinker advocated for the use of mineral, metallic, and chemical remedies instead of traditional ones?",Paracelsus.
Paracelsus divided all natural substances into which three constituents?,"Sulphur, mercury, and salt."
"In Paracelsus' system, which substance represented the volatile constituents of natural objects?",Mercury.
Which 17th-century chemist believed the body's functions were controlled by chemical 'ferments'?,Jan Baptista van Helmont.
Which 18th-century physician modified humoral theory to distinguish between disorders of 'the solids' and 'the fluids'?,Herman Boerhaave.
"According to Thomas Sydenham, clinical symptoms should be described with the same accuracy used to describe what other natural items?",Botanical species.
What was the 'Cnidian' philosophy that overcame the 'Coan' philosophy during the scientific advancement of medicine?,The focus on specific disease sites in organs rather than the whole patient.
