In which English town was William Harvey born in 1578?,"Folkestone, Kent."
At which Italian university did William Harvey study medicine under the famous anatomist Girolamo Fabrizio?,University of Padua.
"What was the name of Harvey's most influential teacher at Padua, who described the valves in the veins?",Girolamo Fabrizio (Fabricius ab Acquapendente).
What is the full title of William Harvey's 1628 landmark publication on the circulation of the blood?,Exercitatio Anatomica de Motu Cordis et Sanguinis in Animalibus.
Harvey's discovery of the circulation of blood effectively overthrew the medical authority of which ancient Greek physician?,Galen.
"Before Harvey, what did Galenic medicine believe was the primary function of the liver regarding blood?",The constant production of new blood from ingested food.
What did Galen believe happened to blood once it reached the peripheral tissues of the body?,It was entirely consumed as nourishment.
What mechanical model did William Harvey use to describe the function of the heart?,A pump.
"Contrary to Galen's 'ebb and flow' theory, Harvey proposed that blood moves in a _____.",Constant circular cycle.
What was the purpose of valves in the veins according to Harvey's discovery?,To ensure blood flows in only one direction toward the heart.
Harvey proved that the arterial pulse is caused by which specific heart action?,The contraction of the ventricles (systole).
What quantitative method did Harvey introduce to physiology to disprove the Galenic theory of blood production?,Measurement of the volume of blood pumped by the heart over time.
"Harvey calculated that in one hour, the heart expels approximately _____ pounds of blood.",$540$ pounds.
Which anatomical structure did Galen claim existed in the heart's septum that Harvey proved was non-existent?,Invisible pores allowing blood to pass between the ventricles.
"In Harvey's ligature experiment, what effect did a tight ligature have on the pulse below the site of the tie?",The pulse disappeared and the limb became cold.
"In Harvey's arm experiment, what happens to the veins when a ligature is loosened just enough to allow arterial flow but block venous return?",The veins below the ligature become swollen and distended.
Which animal did Harvey frequently use to observe the heartbeat because its heart beats slowly enough to be analyzed?,The snake.
Who was the first scientist to use a microscope to discover the capillaries that Harvey had predicted?,Marcello Malpighi.
In what year did Marcello Malpighi provide the 'missing link' of capillaries for Harvey's theory?,1661.
William Harvey served as the personal physician to which two English monarchs?,James I and Charles I.
What term did Harvey use to dismiss the Galenic concept of 'pneuma' or 'vital spirit'?,The common subterfuge of ignorance.
To which prestigious body did William Harvey serve as the Lumleian Lecturer from 1615 to 1656?,The Royal College of Physicians.
